"CountryCode","year","population","region"
"GBR",1961,52800000,"Europe"
"GEO",1961,3703600,"Asia"
"GHA",1961,6866539,"Africa"
"GIB",1961,23786,"Europe"
"GIN",1961,3633652,"Africa"
"GMB",1961,376737,"Africa"
"GNB",1961,623415,"Africa"
"GNQ",1961,258947,"Africa"
"GRC",1961,8398050,"Europe"
"GRD",1961,91260,"Americas"
"GRL",1961,33700,"Americas"
"GTM",1961,4336143,"Americas"
"GUM",1961,68072,"Oceania"
"GUY",1961,589274,"Americas"
"HKG",1961,3168100,"Asia"
"HND",1961,2096407,"Americas"
"HRV",1961,4171672,"Europe"
"HTI",1961,3943364,"Americas"
"HUN",1961,10029321,"Europe"
"IDN",1961,90138235,"Asia"
"IMN",1961,48281,"Europe"
"IND",1961,458494963,"Asia"
"IRL",1961,2824400,"Europe"
"IRN",1961,22480418,"Asia"
"IRQ",1961,7475352,"Asia"
"ISL",1961,179029,"Europe"
"ISR",1961,2185000,"Asia"
"ITA",1961,50536350,"Europe"
"JAM",1961,1650806,"Americas"
"JOR",1961,973083,"Asia"
"JPN",1961,94943000,"Asia"
"KAZ",1961,10129861,"Asia"
"KEN",1961,8361441,"Africa"
"KGZ",1961,2255900,"Asia"
"KHM",1961,5873015,"Asia"
"KIR",1961,42257,"Oceania"
"KNA",1961,51193,"Americas"
"KOR",1961,25765673,"Asia"
"KWT",1961,301336,"Asia"
"LAO",1961,2170343,"Asia"
"LBN",1961,1864605,"Asia"
"LBR",1961,1144986,"Africa"
"LBY",1961,1498071,"Africa"
"LCA",1961,90914,"Americas"
"LIE",1961,16894,"Europe"
"LKA",1961,10168000,"Asia"
"LSO",1961,866462,"Africa"
"LTU",1961,2823550,"Europe"
"LUX",1961,316845,"Europe"
"LVA",1961,2152681,"Europe"
"MAC",1961,170465,"Asia"
"MAF",1961,4453,"Americas"
"MAR",1961,12710547,"Africa"
"MCO",1961,22808,"Europe"
"MDA",1961,2605000,"Europe"
"MDG",1961,5223568,"Africa"
"MDV",1961,92350,"Asia"
"MEX",1961,39394126,"Americas"
"MHL",1961,15051,"Oceania"
"MKD",1961,1507654,"Europe"
"MLI",1961,5322266,"Africa"
"MLT",1961,325250,"Europe"
"MMR",1961,21438025,"Asia"
"MNE",1961,491140,"Europe"
"MNG",1961,982178,"Asia"
"MNP",1961,10302,"Oceania"
"MOZ",1961,7541325,"Africa"
"MRT",1961,883221,"Africa"
"MUS",1961,680757,"Africa"
"MWI",1961,3700023,"Africa"
"MYS",1961,8418460,"Asia"
"NAM",1961,617277,"Africa"
"NCL",1961,81200,"Oceania"
"NER",1961,3486295,"Africa"
"NGA",1961,46062905,"Africa"
"NIC",1961,1830400,"Americas"
"NLD",1961,11638712,"Europe"
"NOR",1961,3609800,"Europe"
"NPL",1961,10221759,"Asia"
"NRU",1961,4675,"Oceania"
"NZL",1961,2419700,"Oceania"
"OMN",1961,564890,"Asia"
"PAK",1961,45984892,"Asia"
"PAN",1961,1167035,"Americas"
"PER",1961,10350242,"Americas"
"PHL",1961,27164617,"Asia"
"PLW",1961,9900,"Oceania"
"PNG",1961,2051947,"Oceania"
"POL",1961,29964000,"Europe"
"PRI",1961,2399722,"Americas"
"PRK",1961,11665595,"Asia"
"PRT",1961,8929316,"Europe"
"PRY",1961,1953328,"Americas"
"PSE",1961,NA,"Asia"
"PYF",1961,80703,"Oceania"
"QAT",1961,51421,"Asia"
"ROU",1961,18555250,"Europe"
"RUS",1961,121236000,"Europe"
"RWA",1961,2996096,"Africa"
"SAU",1961,4218879,"Asia"
"SDN",1961,7769482,"Africa"
"SEN",1961,3295293,"Africa"
"SGP",1961,1702400,"Asia"
"SLB",1961,121396,"Oceania"
"SLE",1961,2329204,"Africa"
"SLV",1961,2843240,"Americas"
"SMR",1961,15789,"Europe"
"SOM",1961,2814096,"Africa"
"SRB",1961,NA,"Europe"
"SSD",1961,3011110,"Africa"
"STP",1961,64551,"Africa"
"SUR",1961,298188,"Americas"
"SVK",1961,4191667,"Europe"
"SVN",1961,1594131,"Europe"
"SWE",1961,7519998,"Europe"
"SWZ",1961,357453,"Africa"
"SXM",1961,NA,"Americas"
"SYC",1961,42889,"Africa"
"SYR",1961,4721896,"Asia"
"TCA",1961,5763,"Americas"
"TCD",1961,3060355,"Africa"
"TGO",1961,1597526,"Africa"
"THA",1961,28224204,"Asia"
"TJK",1961,2159123,"Asia"
"TKM",1961,1658362,"Asia"
"TLS",1961,508845,"Asia"
"TON",1961,63745,"Oceania"
"TTO",1961,865360,"Americas"
"TUN",1961,4235937,"Africa"
"TUR",1961,28146893,"Asia"
"TUV",1961,6246,"Oceania"
"TZA",1961,10373398,"Africa"
"UGA",1961,7006633,"Africa"
"UKR",1961,43203635,"Europe"
"URY",1961,2571690,"Americas"
"USA",1961,183691000,"Americas"
"UZB",1961,8837349,"Asia"
"VCT",1961,82142,"Americas"
"VEN",1961,8461685,"Americas"
"VGB",1961,8155,"Americas"
"VIR",1961,34100,"Americas"
"VNM",1961,35428000,"Asia"
"VUT",1961,65713,"Oceania"
"WSM",1961,112119,"Oceania"
"YEM",1961,5260501,"Asia"
"ZAF",1961,17850045,"Africa"
"ZMB",1961,3140264,"Africa"
"ZWE",1961,3870756,"Africa"
"ABW",1962,56225,"Americas"
"AFG",1962,9345868,"Asia"
"AGO",1962,5866061,"Africa"
"ALB",1962,1711319,"Europe"
"AND",1962,15370,"Europe"
"ARE",1962,112472,"Asia"
"ARG",1962,21287682,"Americas"
"ARM",1962,2009526,"Asia"
"ASM",1962,21117,"Oceania"
"ATG",1962,57144,"Americas"
"AUS",1962,10742000,"Oceania"
"AUT",1962,7129864,"Europe"
"AZE",1962,4171425,"Asia"
"BDI",1962,2893669,"Africa"
"BEL",1962,9220578,"Europe"
"BEN",1962,2502896,"Africa"
"BFA",1962,4960326,"Africa"
"BGD",1962,51030137,"Asia"
"BGR",1962,8012946,"Europe"
"BHR",1962,173144,"Asia"
"BHS",1962,121083,"Americas"
"BIH",1962,3353226,"Europe"
"BLR",1962,8351928,"Europe"
"BLZ",1962,97384,"Americas"
"BMU",1962,46600,"Americas"
"BOL",1962,3838097,"Americas"
"BRA",1962,76573248,"Americas"
"BRB",1962,232586,"Americas"
"BRN",1962,89516,"Asia"
"BTN",1962,234706,"Asia"
"BWA",1962,550840,"Africa"
"CAF",1962,1556661,"Africa"
"CAN",1962,18614000,"Americas"
"CHE",1962,5573815,"Europe"
"CHL",1962,8067136,"Americas"
"CHN",1962,665770000,"Asia"
"CIV",1962,3841071,"Africa"
"CMR",1962,5399922,"Africa"
"COD",1962,16041263,"Africa"
"COG",1962,1092292,"Africa"
"COL",1962,17500171,"Americas"
"COM",1962,197198,"Africa"
"CPV",1962,210867,"Africa"
"CRI",1962,1432585,"Americas"
"CUB",1962,7450402,"Americas"
"CUW",1962,128414,"Americas"
"CYM",1962,8146,"Americas"
"CYP",1962,577691,"Asia"
"CZE",1962,9624660,"Europe"
"DEU",1962,74025784,"Europe"
"DJI",1962,94204,"Africa"
"DMA",1962,61982,"Americas"
"DNK",1962,4647727,"Europe"
"DOM",1962,3521278,"Americas"
"DZA",1962,11690153,"Africa"
"ECU",1962,4812890,"Americas"
"EGY",1962,28506176,"Africa"
"ERI",1962,1469645,"Africa"
"ESP",1962,31023366,"Europe"
"EST",1962,1241623,"Europe"
"ETH",1962,23221389,"Africa"
"FIN",1962,4491443,"Europe"
"FJI",1962,421577,"Oceania"
"FRA",1962,48119649,"Europe"
"FRO",1962,35570,"Europe"
"FSM",1962,47388,"Oceania"
"GAB",1962,509806,"Africa"
"GBR",1962,53250000,"Europe"
"GEO",1962,3760300,"Asia"
"GHA",1962,7085464,"Africa"
"GIB",1962,24284,"Europe"
"GIN",1962,3690664,"Africa"
"GMB",1962,383523,"Africa"
"GNB",1962,629969,"Africa"
"GNQ",1962,262590,"Africa"
"GRC",1962,8448233,"Europe"
"GRD",1962,92425,"Americas"
"GRL",1962,35000,"Americas"
"GTM",1962,4464249,"Americas"
"GUM",1962,69604,"Oceania"
"GUY",1962,606285,"Americas"
"HKG",1962,3305200,"Asia"
"HND",1962,2155652,"Americas"
"HRV",1962,4202104,"Europe"
"HTI",1962,4022593,"Americas"
"HUN",1962,10061734,"Europe"
"IDN",1962,92558005,"Asia"
"IMN",1962,48418,"Europe"
"IND",1962,467852537,"Asia"
"IRL",1962,2836050,"Europe"
"IRN",1962,23071429,"Asia"
"IRQ",1962,7674223,"Asia"
"ISL",1962,182378,"Europe"
"ISR",1962,2293000,"Asia"
"ITA",1962,50879450,"Europe"
"JAM",1962,1676250,"Americas"
"JOR",1962,1009733,"Asia"
"JPN",1962,95832000,"Asia"
"KAZ",1962,10532062,"Asia"
"KEN",1962,8628972,"Africa"
"KGZ",1962,2333400,"Asia"
"KHM",1962,6028551,"Asia"
"KIR",1962,43302,"Oceania"
"KNA",1962,50966,"Americas"
"KOR",1962,26513030,"Asia"
"KWT",1962,338296,"Asia"
"LAO",1962,2221122,"Asia"
"LBN",1962,1925276,"Asia"
"LBR",1962,1170480,"Africa"
"LBY",1962,1550813,"Africa"
"LCA",1962,92084,"Americas"
"LIE",1962,17290,"Europe"
"LKA",1962,10443000,"Asia"
"LSO",1962,882170,"Africa"
"LTU",1962,2863350,"Europe"
"LUX",1962,320750,"Europe"
"LVA",1962,2181586,"Europe"
"MAC",1962,176188,"Asia"
"MAF",1962,4566,"Americas"
"MAR",1962,13094818,"Africa"
"MCO",1962,23039,"Europe"
"MDA",1962,2664000,"Europe"
"MDG",1962,5352503,"Africa"
"MDV",1962,94938,"Asia"
"MEX",1962,40649588,"Americas"
"MHL",1962,15547,"Oceania"
"MKD",1962,1527111,"Europe"
"MLI",1962,5381368,"Africa"
"MLT",1962,323900,"Europe"
"MMR",1962,21898020,"Asia"
"MNE",1962,502558,"Europe"
"MNG",1962,1011324,"Asia"
"MNP",1962,10499,"Oceania"
"MOZ",1962,7699139,"Africa"
"MRT",1962,909174,"Africa"
"MUS",1962,700349,"Africa"
"MWI",1962,3784439,"Africa"
"MYS",1962,8692815,"Asia"
"NAM",1962,632654,"Africa"
"NCL",1962,83400,"Oceania"
"NER",1962,3588156,"Africa"
"NGA",1962,47029140,"Africa"
